"2014-03-09 12:38:17,SIP/20001-00000000,20001,""""""Esimene"""" <20001>"",20003,IAX2/20003-341,ANSWERED,10";
"2014-03-09 12:38:40,SIP/20001-00000001,20001,""""""Esimene"""" <20001>"",20004,IAX2/20004-1876,ANSWERED,10";
"2014-03-09 12:42:32,SIP/20001-00000002,20001,""""""Esimene"""" <20001>"",20002,SIP/20002-00000003,ANSWERED,12";
"2014-03-09 12:43:10,SIP/20001-00000004,20001,""""""Esimene"""" <20001>"",20003,IAX2/20003-1671,ANSWERED,38";
2014-03-09 12:44:55,Local/20003@from-internal-da0b;2,,VMAIL/20003,20003,IAX2/20003-5278,ANSWERED,9
2014-03-09 12:44:55,Local/20003@from-internal-da0b;1,,VMAIL/20003,s,,ANSWERED,9
2014-03-09 12:44:33,Local/20003@from-internal-a93f;1,,VMAIL/20003,t,,ANSWERED,34
2014-03-09 12:44:33,Local/20003@from-internal-a93f;2,,VMAIL/20003,20003,IAX2/20003-1458,ANSWERED,34
"2014-03-09 12:50:04,IAX2/20004-5495,20004,""""""Neljas"""" <20004>"",*65,,ANSWERED,11";
"2014-03-09 12:50:16,IAX2/20003-1711,20003,""""""Kolmas"""" <20003>"",*65,,ANSWERED,10";
"2014-03-09 12:50:54,IAX2/20003-251,20003,""""""device"""" <20003>"",*43,,ANSWERED,37";
"2014-03-09 12:51:06,IAX2/20004-2523,20004,""""""device"""" <20004>"",*43,,ANSWERED,43";
"2014-03-09 12:51:45,SIP/20002-00000005,20002,""""""Teine"""" <20002>"",20001,SIP/20001-00000006,ANSWERED,8";
"2014-03-09 12:52:04,SIP/20002-00000007,20002,""""""Teine"""" <20002>"",20003,IAX2/20003-6885,ANSWERED,41";
"2014-03-09 12:52:50,IAX2/20003-5367,20003,""""""Kolmas"""" <20003>"",20001,SIP/20001-00000008,NO ANSWER,7";
"2014-03-09 12:53:03,SIP/20001-0000000a,20001,""""""Esimene"""" <20001>"",20003,IAX2/20003-2532,ANSWERED,6";
"2014-03-09 12:52:54,SIP/20002-00000009,20002,""""""Teine"""" <20002>"",20004,IAX2/20004-1071,ANSWERED,38";
"2014-03-09 12:53:49,IAX2/20003-5804,20003,""""""Kolmas"""" <20003>"",20001,SIP/20001-0000000b,ANSWERED,6";
"2014-03-09 12:55:00,IAX2/20003-1749,20003,""""""Kolmas"""" <20003>"",*72,,ANSWERED,26";
"2014-03-09 12:55:39,IAX2/20003-8954,20003,""""""Kolmas"""" <20003>"",*72*20001,,ANSWERED,14";
"2014-03-09 12:55:57,SIP/20002-0000000c,20002,""""""Teine"""" <20002>"",20002,SIP/20002-0000000d,ANSWERED,18";
"2014-03-09 12:56:22,SIP/20002-0000000e,20002,""""""Teine"""" <20002>"",20002,SIP/20002-0000000f,ANSWERED,18";
"2014-03-09 12:56:48,SIP/20002-00000010,20002,""""""Teine"""" <20002>"",20003,Local/*20001@from-internal-ac77";1,ANSWERED,16
2014-03-09 12:56:48,Local/*20001@from-internal-ac77;"2,20002,""""""Teine"""" <20002>"",*20001,,ANSWERED,16"
"2014-03-09 12:57:11,IAX2/20003-114,20003,""""""Kolmas"""" <20003>"",*73,,ANSWERED,5";
"2014-03-09 12:57:26,IAX2/20004-2354,20004,""""""Neljas"""" <20004>"",20003,IAX2/20003-4788,ANSWERED,6";
"2014-03-09 12:57:36,SIP/20002-00000011,20002,""""""Teine"""" <20002>"",20001,SIP/20001-00000012,NO ANSWER,3";
"2014-03-09 12:58:26,IAX2/20003-1438,20003,""""""Kolmas"""" <20003>"",*7220001,,ANSWERED,13";
"2014-03-09 12:58:44,SIP/20002-00000013,20002,""""""Teine"""" <20002>"",20003,Local/20001@from-internal-225d";1,NO ANSWER,3
2014-03-09 12:58:44,Local/20001@from-internal-225d;"2,20002,""""""Teine"""" <20002>"",20001,SIP/20001-00000014,NO ANSWER,3"
"2014-03-09 13:00:27,IAX2/20003-10188,20003,""""""Kolmas"""" <20003>"",*78,,ANSWERED,4";
"2014-03-09 13:00:38,SIP/20001-00000015,20001,""""""Esimene"""" <20001>"",20003,,ANSWERED,5";
"2014-03-09 13:00:54,SIP/20002-00000016,20002,""""""Teine"""" <20002>"",20003,Local/20001@from-internal-5558";1,NO ANSWER,6
2014-03-09 13:00:54,Local/20001@from-internal-5558;"2,20002,""""""Teine"""" <20002>"",20001,SIP/20001-00000017,NO ANSWER,6"
"2014-03-09 13:01:18,IAX2/20003-1305,20003,""""""Kolmas"""" <20003>"",*73,,ANSWERED,5";
"2014-03-09 13:01:35,SIP/20002-00000018,20002,""""""Teine"""" <20002>"",20003,,ANSWERED,9";
"2014-03-09 13:02:02,IAX2/20003-1879,20003,""""""Kolmas"""" <20003>"",*79,,ANSWERED,4";
"2014-03-09 13:02:09,SIP/20002-00000019,20002,""""""Teine"""" <20002>"",20003,IAX2/20003-17,ANSWERED,7";
"2014-03-09 13:04:29,IAX2/20003-523,20003,""""""device"""" <20003>"",*98,,ANSWERED,32";
"2014-03-09 13:05:10,IAX2/20003-1058,20003,""""""Kolmas"""" <20003>"",*97,,ANSWERED,27";
"2014-03-09 13:05:33,SIP/20002-0000001a,20002,""""""device"""" <20002>"",*98,,ANSWERED,5";
"2014-03-09 12:57:03,IAX2/20004-3670,20004,""""""Neljas"""" <20004>"",20003,Local/*20001@from-internal-51d9";1,ANSWERED,521
2014-03-09 12:57:03,Local/*20001@from-internal-51d9;"2,20004,""""""Neljas"""" <20004>"",*20001,,ANSWERED,521"
"2014-03-09 13:05:19,IAX2/20004-122,20004,""""""device"""" <20004>"",*98,,ANSWERED,27";
"2014-03-09 13:11:37,IAX2/20004-3781,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,12";
"2014-03-09 13:12:31,IAX2/20003-6770,20003,""""""Kolmas"""" <20003>"",STARTMEETME,,ANSWERED,60";
"2014-03-09 13:12:30,SIP/20002-0000001b,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,62";
"2014-03-09 13:11:58,IAX2/20004-8286,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,111";
"2014-03-09 13:16:15,IAX2/20004-3815,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,21";
"2014-03-09 13:16:26,SIP/20002-0000001c,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,12";
"2014-03-09 13:17:16,IAX2/20003-1331,20003,""""""Kolmas"""" <20003>"",STARTMEETME,,ANSWERED,32";
"2014-03-09 13:16:44,SIP/20002-0000001d,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,71";
"2014-03-09 13:16:41,IAX2/20004-292,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,89";
"2014-03-09 13:23:21,SIP/20001-0000001e,20001,""""""Esimene"""" <20001>"",20010,IAX2/20004-123,NO ANSWER,16";
"2014-03-09 13:24:25,SIP/20001-00000021,20001,""""""Esimene"""" <20001>"",20010,IAX2/20003-1534,NO ANSWER,15";
"2014-03-09 13:25:10,SIP/20001-00000024,20001,""""""Esimene"""" <20001>"",20010,SIP/20002-00000028,NO ANSWER,33";
"2014-03-09 13:25:47,SIP/20001-00000029,20001,""""""Grupp3Esimene"""" <20001>"",20010,IAX2/20003-9225,ANSWERED,33";
"2014-03-09 13:37:20,SIP/20002-0000002c,20002,""""""Teine"""" <20002>"",*77,,ANSWERED,22";
"2014-03-09 13:38:09,SIP/20002-0000002d,20002,""""""Teine"""" <20002>"",*99,,ANSWERED,23";
"2014-03-09 13:47:11,SIP/20001-0000002e,20001,""""""Esimene"""" <20001>"",20002,SIP/20002-0000002f,NO ANSWER,11";
"2014-03-09 14:08:47,SIP/42-user-00000030,42-user,""""""Jaam2Esimene"""" <42-user>"",20003,IAX2/20003-1753,ANSWERED,34";
